Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.900,8.700,es-us,0.94994,,,"Medellín Machine Learning - Study Group (MML-SG) es una iniciativa impulsada por la comunidad que tiene como objetivo fomentar el aprendizaje colaborativo y el intercambio de conocimientos sobre aprendizaje automático entre los participantes de Medellín. El grupo sirve como una plataforma para que personas que van desde principiantes hasta profesionales avanzados se reúnan, compartan ideas, trabajen en proyectos y exploren los últimos avances en aprendizaje automático."
16.400,18.900,es-us,0.77046,,,"Los aspectos clave del grupo incluyen:"
21.800,36.700,es-us,0.67797,,,"Aprendizaje colaborativo: el grupo enfatiza el aprendizaje colaborativo abierto donde los participantes pueden compartir conjuntos de datos, ideas y trabajo de proyectos. Este entorno fomenta el aprendizaje y los debates entre pares, lo que permite a las personas mejorar sus habilidades en una comunidad de apoyo"
38.500,41.500,es-us,0.80584,,,"Enfoque práctico: las sesiones son prácticas y se centran en la aplicación de técnicas de aprendizaje automático a problemas del mundo real. Por ejemplo, los miembros han trabajado en proyectos como la predicción de precios de automóviles, la detección de anomalías y el uso de codificadores automáticos para tareas complejas. Este enfoque garantiza que los participantes adquieran no solo conocimientos teóricos sino también experiencia práctica en la implementación de modelos de aprendizaje automático"
42.800,75.500,es-us,0.96387,,,"Aprendizaje basado en proyectos: el grupo organiza sus actividades en torno a proyectos o conjuntos de problemas específicos, como la detección de anomalías en los precios de los automóviles, la implementación de codificadores automáticos o la creación de un juego de defensa y ataque utilizando gráficos. Esto permite a los miembros ver el proceso completo de aprendizaje automático, desde la preparación de los datos hasta la implementación del modelo"
76.400,85.400,es-us,0.97313,,,"Exploración de temas: cada sesión profundiza en diferentes áreas del aprendizaje automático, que van desde el aprendizaje supervisado, la optimización de modelos y los codificadores automáticos hasta temas más avanzados como las redes neuronales gráficas (GNN), la detección de anomalías y la detección de comunidades en gráficos. Estos diversos temas brindan una experiencia de aprendizaje integral, que abarca varios subcampos del aprendizaje automático."
86.700,147.200,es-us,0.85825,,,"Inclusión de diferentes niveles de habilidad: si bien el grupo maneja temas avanzados de aprendizaje automático, está diseñado para incluir participantes con diferentes niveles de experiencia, lo que lo convierte en un recurso valioso tanto para principiantes como para profesionales experimentados."
147.000,179.000,es-us,0.92522,,,"Cada sesión suele centrarse en un tema específico, como la exploración de datos, la optimización de modelos, la detección de anomalías o las redes neuronales de grafos. Las reuniones suelen celebrarse por la noche, todos los miercoles alrededor de las 19:00 GMT-5 (hora local de Medellín)."
181.100,236.900,es-us,0.83267,,,"Las sessiones son virtuales via Google Meet, en el siguiente link se pueden conectar: https://meet.google.com/nbi-jxjj-sxo?authuser=0"
237.600,245.400,es-us,0.82295,,,"El canal principal de comunicacion de Medellín Machine Learning - Study Group es via Discord, pueden solicitar al administrador en el enlace para conectarse o pueden buscarlo en Discord como: medellín-machine-learning"
245.400,305.400,es-us,0.82497,,,"Las reglas del grupo son: Las reglas son simples: respetar a todos los miembros del grupo y utilizar los canales adecuadamente para lo que fueron diseñados."
306.000,366.000,es-us,0.84563,,,"El proposito del grupo es: Medellin Machine Learning - Study Group es un grupo de estudio enfocado en temas de Machine Learning para aprender, enseñar y practicar la aplicación del conocimiento para construir increíbles proyectos reales aplicables. Están dispuestos a ser buenos, muy buenos en ML."
