Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.500,es-us,0.79745,,,"Listo ahí ven sí confirmado, Sí ahí estamos viendo ya la pantalla listo, perfecto muchachos Bienvenidos a una sesión más gracias, otra vez por hacer parte bacano que sigamos asistiendo em yo les comentaba al principio, eh? A los que son más antiguos que el concepto este espacio es como gimnasio tienes que ir seguido tienes que hacerlo también en tus espacios no solamente en este sino como por fuera también aprender tú mismo, pero esto es como un ancla que se podría decir, pero esto es como un gimnasio aprendemos con proyecto reales. Queremos ser buenos para eso practicamos para eso tenemos todo este trabajo, eh? También Ojalá podamos tener un gran talento, para qué sé, yo construir empresas hacer proyectos, eh? Que nos contratan en en empresas geniales, Ese es el objetivo al final, eh? Que sea."
59.000,118.700,es-us,,,,"Para crecer entre todos, eh? Para los nuevos yo soy César González trabajo, Neo Estela hace ya bastante tiempo con Machine learning, abrí este grupo de estudio inspirado en un viaje que hice por Europa en Berlín y allá tenían algo parecido. Me pareció genial. Lo abrí acá en Medellín y aquí estamos aprendiendo y vamos a hacer de la talla buena mundial. Eso es el objetivo practicar para llegar a ser muy buenos en esto contexto del proyecto, que estamos haciendo el que estamos haciendo actualmente tiene que ver con grafos imaginar La idea, es aprender de ese tema y aplicarlo con un proyecto real, el proyecto real es unos servidores que están comunicados entre ellos de diferentes formas y con diferentes protocolos pueden utilizar, eh? Correo electrónico pueden utilizar un servicio, puede utilizar un ftp que es, eh? Protocolo transport algo así hay diferentes canales para comunicarse entre ellos."
118.900,178.400,es-us,,,,"Y ese tráfico en su mayoría es benigno Es decir datos que pasarían en una empresa normalmente, pero también hay atacantes dentro de ese dentro de esa red que están buscando con diferentes tipos de ataques, pues derrumbar o ganar control de esa red completamente Nosotros ahorita. Estamos modelando eso con grafos toda esa complejidad de la comunicación entre todos ellos con grafos en 70 anteriores, Ahí sí, a los nuevos Les recomiendo que de pronto se vean algunos vehículos anteriores, porque aquí vamos a tratar de dar algunos términos como que ya lo supiéramos, pero eh, hemos comenzado desde cero a entender que es un grafo o cómo se conecta que son nodos que son puentes, eh? Direcciones, Qué tipos de máquinas, puedo sacar sensualidad cosas así todo esto enfocado a hacer este ejercicio de crear un modelo que sea capaz de atacar y defender eso del futuro, ya veremos cuando lleguemos allá Ojalá eh, No solamente sería."
179.000,238.800,es-us,0.80189,,,"De la red y el grafo a través de un grafo Perdón sino también crear un sistema que es capaz de autónomamente aprender estrategias, que eso sería ponle tú ya un report learning o algo, así que encuentres estrategias para poder atacar servidores específicos y que los de rumbeo que gana control eso sería como el el top como si fuera un juego en realidad y esto con datos reales Ese es el el objetivo, eh? Bien hasta ahí sí, para los chicos nuevos se entiende el objetivo Julio listo, listo muchachos, entonces para ponerlos en contexto también en que en qué datos tenemos en qué nos quedamos en la sesión anterior, eh? Tenemos unos datos que hicieron por día cada uno de los días tiene como un tipo de ataque diferente el único día que no tiene ataques fue el lunes que tiene, eh? Tráfico, normal tráfico de trabajo normal en horas laborales, pero también dentro de ese como les comentaba Dentro de este tráfico en diferentes días se hicieron diferentes tipos de"
238.900,298.800,es-us,,,,"Por ejemplo acá se se hizo un ataque d2 acá se hizo un Porsche en el viernes, eh? No me acuerdo este que tiene creo que ese es el botnet, pero el nombre no dice botnet, eh? Que es el de eh Ahorita vamos a ver uno por uno como para hacernos una idea de cómo funciona Y eso cómo se podría utilizar de pronto en el gráfico, eh? Por ejemplo acá en filtración ahí webpack, que eso tiene Fuerza bruta, eh? Tacones tipos que también vamos a ver como por encima para entender de qué estamos hablando, pero ese tráfico tiene diferentes características cuando hablamos de características, nosotros en sesiones, anteriores, generamos estos reportes que los reportes lo hicimos con una librería llamada GTA profile y básicamente ese reporte, déjamelo aquí, eh? Es un reporte automatizado que nos entrega métricas básicas que haremos en un análisis de de un dato que vendría siendo de pronto."
299.000,358.500,es-us,0.79450,,,"En este caso categorías o nombres en el sour sapi es decir el servidor que envía el mensaje en puesto por el que lo envía el servidor que es el destinatario la dirección IP Y tenemos muchas cosas tipo de protocolo elabora en la que se envió El el flujo de la duración, eh? La duración del flujo, perdón, eh, tos cómo son ataques de diferentes, eh, tipos, la forma de modelarlo la forma base digamos la forma estándar de poder meterlos todos a la misma bolsa es a través del tráfico con las métricas del tráfico entonces por eso ya se habla como la duración del flujo, Cuántos paquetes, se envía A qué velocidad se envía Con qué frecuencia el tamaño de los paquetes el tamaño de los bits, Eh sí acá también se habla como de Ah sí paquetes que se envían paquetes que se reciben Recuerden que cuando se hace una petición Por lo general se tiene alguien que Envía una solicitud y el servidor que responde esa solicitud entonces hay un Forward"
359.000,418.700,es-us,0.78244,,,"Es es el fwy que está acá y está el password, que por aquí vemos más abajo, que es el bw. Entonces esos paquetes la velocidad etcétera. Hemos visto unas unos Flags que eran si era prioritario, si era de que tenía que ejecutarse lo antes posible, hay hay diferentes banderitas para eso, pero este reporte no simplificada como toda esa complejidad y había de algunos casos que habían algunas características, que no, no tenían variantes, es decir, no tenían valores diferentes acá por lo que podíamos descargarlos, pero en esa sesión ya la vamos a ver en la siguiente Cuáles ya se descartan y cuáles no por ahora, eh? Todavía entender un poco cómo funciona y Y qué componentes tiene? Entonces hemos creado estos reportes para poder entender y cada uno de estos reportes por día si se dan cuenta acá uno de estos reportes por día hace referencia a cada uno de los ataques, entonces una forma, eh? Sencilla, que también se podría."
418.900,478.600,es-us,,,,"Machine learning en este caso es hacer una un un una predicción, eh? Una clasificación un modelo que clasifique Y a partir de los paquetes de qué tan qué tanta duración tienen y demás pues podemos predecir Qué tipo de ataque podría ser si es un botnet si es un, eh Un dto s que puede ser por la frecuencia que me está pidiendo unas peticiones cosas así Eso se podría hacer con un modelo regresivo perdón de clasificación normal y podría funcionar en este caso queremos hacer algo más complejo Que es utilizarlo con una con un grafo para poder emplearlo en el ataque y en la conexión que tiene sus servidores con otros servidores Y de esa manera poder derrumbar, eh? En ese para el atacante poder ganar control de todo el Red neuronal para el defensor protegerse entonces son aplicaciones diferentes de Machine learning pero que funcionan con el mismo dato y si se dan cuenta acá una de las características de los grafos nos permite."
479.000,537.500,es-us,0.86354,,,"Ver, eh, más esa aplicación en este caso específico porque como Se comentaba anteriormente en un modelo de clasificación o regresión normal supervisado todas las características es decir todas estas características que están aquí están enfocadas en predecir un Label que es este que está aquí abajo Ese es el target. Entonces Todas están direccionadas en esa en toda la información Se comprime y encuentra patrones con ese único propósito, pero en un grafo podríamos encontrar relaciones más complejas y en este caso que queremos hacer estrategias de ataque. Funciona mejor un grafo que una que un modelo de presión normal entonces, eh? Como para ver las diferencias de Por qué usamos grafos en este caso específico listo. Hagamos creado este este Notebook que tenía información de todos los que compila básicamente todos los"
539.000,598.300,es-us,0.75086,,,"Reportes acá hacíamos como Data set completo un global y aquí empezamos a ver como Qué tipo de ataque se podían ver Entonces tenemos de dos, tenemos Porsche un Bot net en filtración un b-track con Fuerza bruta, eh? Un xxss un sql injection y ya vamos a ver cómo, qué rayos es cada uno y eso cómo nos podría hacer? Que cuando un atacate envíe ese tipo de mensaje a una víctima o la derrumbe o la o la inhabilite Se podría decir o tome control hay diferentes formas o saca información o haya una inyección Entonces eso La idea. Es que lo empecemos a modelar más complejamente en esa en esa red de servidores que tenemos hacemos un poco de limpieza de datos que aquí borramos duplicado será muy sencillo. Hacíamos un pre-proceso, ehm, que era coger los servidores en total."
599.000,658.700,es-us,0.79823,,,"Es decir, el IP global, Cuántos cepillos, tenías Queríamos saber cuántos epis teníamos servidores en total y aquí podemos ver, eh? Teníamos 4000 esto era para solo el viernes, Perdón esto era para solo el viernes, porque por memoria creo que dejamos esto para el viernes a pesar de que aquí aparezcan todos creo que la vamos a dejar solo para el viernes Pero podemos ver cuántos eran, eh? Enviaban mensajes Cuántos reciban mensajes y cuántos años tenían total hacer como un entendimiento de ese tipo de cosas acá se agregó una sección nueva que era para poder ver cuáles eran los atacantes Cuáles eran sus servidores que eran atacantes de hecho. Esto lo puedo actualizar y se va a ver mejor tener un segundo esto yo lo puedo ejecutar desde aquí sí, en el momento Para que encuentre shape, porque ahí va a encontrar ahí global y por eso es que se demora un poco más, pero quiero mostrarles esta tabla de acá actualizada, que sería la tabla que"
659.000,718.500,es-us,,,,"El Haití del atacante perdón, el IP del atacante y el tipo de ataque que hace en este caso lo está testeando solamente está testeando solo para el but net, pero veamos cómo se ve para los demás acá vean que ya se ven muchos más datos veamos, cómo se ve está lista actualizada y se ve un poco así entonces vean que tenemos varios Bots pero solamente funciona como Butler de hecho vamos a ver por qué pasaría esto en un escenario real, eh? Tenemos unos que son para dd's pero este Al parecer es el que más ataca hay uno específicamente que es el que está tirando todos los sofá que es Duros de todo tipo Porsche Eh Pues a bruta y que me gusta que se vea así porque justamente así se podría ver en un escenario real no la mayoría de tráfico y la mayoría de servidores involucrados todos van a ser, eh? Buenos no, no tendrían, eh? Algún virus o no tendrían alguna intención maliciosa Pero entre esa red"
