Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.800,es-us,0.84636,,,"Después de tanto tiempo sigamos teniendo constancia que no sé qué gustando el tema que podamos sacarle provecho y nada contexto como siempre en todas las reuniones, pues queremos construir este atacante defensor con grafos que en un sistema que tiene servidores personas computadores diferentes entidades como en un sistema de software, el Hardware Software Buscar como puntos débiles y poder atacarlos poder identificar los poder, eh? De una forma inteligente encontrar esos esos puntos tanto para defenderlos como para atacarlos y y por ahí va la cosa me tengo que estamos utilizando para hacer eso son grafos grafos de la mano de Machine learning que ya vimos la sesión pasada que tiene muchas aplicaciones en diferentes Campos"
59.000,118.500,es-us,0.72303,,,"especialmente se usan es cuando los datos de por sí, ya vienen en este en esta estructura de grafos, si venden en otro formato, pues es preferible de pronto usar otros métodos de de predicción o de Machine learning en otros algoritmos, pero si la Data viene en grafos, pues genial cosa que aún sigue llamando mucho la atención de los grafos, es que una de las ventajas que tiene es que no encuentro la relación solamente desde los features al target Sino de todos los componentes que están interconectados O sea podemos ver una una pintura más completa Si queremos hacer una fricción y no solamente depender de Cómo se relacionan las características que yo ingreso con el tarde, que eso fue lo que hicimos con los carros la relación era en una dirección Cómo se relaciona el modelo con el precio, no seamos relación al año con el precio, pero nunca era Cómo cómo se relaciona el año con el modelo o cosas así no, no era"
118.900,178.600,es-us,0.85643,,,"Posible ver esa relación con el modelo normal que usamos de predicción Entonces esta sesión sería ya para hablar un poco más de los temas de base de cómo los principios de los grafos que los rigen no voy a intentar no ser tan técnico antes llegaremos a una profundidad pero es porque es útil saber ese tipo de cosas según la investigación que se ha hecho y el estudio que se ha hecho entonces, eh? Vamos a ver un poco las propiedades que tienen los grafos entonces, eh? Hay una propiedad que se llama, eh? Thegrefg que es como el grado de que hace relación a las conexiones que tiene nuestro grafo con otro nuestro nodo perdón con los nodos que tiene alrededor ambas conexiones. Tengo más grados tengo es básicamente lo que intenta decir ahí entonces por ejemplo acá se puede ver que esté a está muy interconectado con otros nodos por lo que"
179.000,238.600,es-us,0.79739,,,"Grados que Lo componen son Es mayor que b o que se se tendría el el menor número de grados es simplemente un término técnico de para cuando hablemos del tema, eh? Otro técnico vendría siendo Walk es básicamente el camino para llegar de un no a otro incluso repitiendo caminos devolviéndose y demás eso sería lo que se denomina Walk Cómo se ve en la imagen esto es muy sencillo, vas caminando y uno a otro y pues cada uno de estos words tiene una longitud un lente Entonces qué tan qué tan largo es? No, eh Y hay otros términos que Stein o pad que básicamente son reglas que colocaste un Wok pero que usé puentes distintos O sea que usted es distintos eso es un técnico o un pad que un pad es, eh? Un Wok es decir."
238.900,298.800,es-us,0.81339,,,"caminar pero que usen nodos distintos Entonces no repita los nudos y no repita los los hechos los los puentes Es simplemente esos términos que se desprenden de Walker y otra imagen cita donde también se ve el Wok y la secuencia que tiene acá Incluso se ve el término de Walt que era lo que les decía qué tan largo es ese paso a paso para llegar de un nuevo de un nodo a otro listo Este es el cono porque tengo esto acá Perdón me sobra para la función siguiente Cuando miro se me sobra acá me hacía falta quizás hablar al mismo tema y la dejé ahí sí creo otro término técnico vendría siendo un subgrafo que es tengo un grafo pero puedo"
299.000,358.900,es-us,0.78960,,,"Minecraft cómo se ve acá el rojito es el mini grafo Y pues el interés sería todo el amarillo y el rojo esto podría en el ejercicio que estamos haciendo como sistemas y el subsistema distancia de una área específica de un equipo específico de un tipo de servidores específico se podría hacer un subgrafo a partir de ese de ese ejemplo que nosotros estamos desarrollando ese sería otro término técnico y hay otro que se llamaba que sean componentes conectados es decir al parecer se pueden tener grafos que tengan nodos separados y demás entonces hay un término que es como completamente conectado que es todos los nodos dentro del grafo tienen al menos una conexión con otro no no quedan solos y huerfanitos sino al menos hay uno que con el que con el que te enlaces hay otra cosa que se llamaba, eh? El el shorts."
359.000,418.800,es-us,,,,"Que es el camino más corto, es muy sencilla, también entender se deriva del Walk que es vaya este nodo a este nodo, pero come el camino más corto no se despide demasiado y de ahí se parte a otro término que se llama, eh? Diámetro que escoja los nodos más próximos más alejados dentro del grafo y encuentre Cuál es ese pad que lleva de un lado a otro, el más corto, el camino más corto, entonces acá, por ejemplo, se ve en este mes de acá, pues llegó este nuevo que está aquí rojo a está acá, pero si llegase a ver un pad aquí un puente entre estos dos, Pues el el diámetro sería Este pero es el camino más corto por los términos técnicos todo esto detrás tiene una matemática que estoy viendo aquí en el libro de hecho y lo lo menciono porque posiblemente sí, ya vamos a usar ese tipo de términos más adelante y van a ver que sí, entonces Acá está toda la matemática y demás como lo"
418.900,478.900,es-us,,,,"Que se acaba de decir pero de forma matemática es lo que lo que pasa, ahí empezamos con términos más interesantes que vendría siendo, por ejemplo la centralidad, que es básicamente, qué tan Central es ese nodo? Específicamente o en general todos los nodos, qué tan centrales en ese grave, entonces hay diferentes formas de calcular esa centralidad dependiendo de la aplicación que se vaya a hacer Pues hay diferentes tipos de de métricas para calcular esa centralidad vamos a ver aquí solamente cuatro, porque este de acá es uno que desarrolló Google que la verdad no lo he estudiado y me tomo por sorpresa, porque ya haciendo la la investigación, acaba de abrir todas las ventanas, pues me di cuenta que existían no sabía en el libro no está entonces vamos a utilizar solamente estos cuadros que es, eh? Note degree, eh? Klowns between test y en central vamos a empezar con estos tres de aquí abajo porque son más fáciles."
479.000,538.200,es-us,0.75190,,,"Este sí necesita un poco más de trabajo, pero creo que es el más útil van a ver el primero el el por el grado del No pues como lo dice su su nombre y que ahorita entendimos que era como el término grado el degree, eh? Corresponde, a qué tan a este también se nos cambia Perdón qué tan interconectado estés no? Entonces el nuevo que esté más conectado con demás nodos, pues tiene más importancia Entonces por ejemplo este que es el central está conectado con todos los demás alrededor por lo que tenemos de importación más grande y eso se le asigna un valor y los demás no los va a tener Pues básicamente menos porque no tienen tantas conexiones Incluso el valor que se le asigna es el número de de puentes que tiene conectados y se va a ser nuestro valor de importancia entonces en algunos casos Si estás más conectado, Pues serás el más importante esto que estás podría pasar con un en algún ser, eh? El ejemplo que estamos haciendo en algún"
539.000,598.600,es-us,,,,"El administrador está conectado con todos los demás, Porque desde el administrador se se dan todos los permisos y demás Entonces ese podría ser el nodo más importante dado que está conectado con todos los demás, Puede que haya otro en otro caso que no tenga que ser necesariamente el administrador, sino ponle tú el que da el acceso a los sistemas, pero lo han solo y solamente a nivel de ese permiso que acceda como un próximo algo así esas podría estar conectado a esa otra. Es una forma de verlo también listo Ahora hay otro que se llama, eh? Closer, que es básicamente, eh? Qué tal el el nodo que permita acceder fácilmente al resto de los nodos Pero espero que a veces primero vamos con el otro, Perdón perdón, perdón, perdón, perdón, echo reversa, acá vamos con between next porque clones es un poco más complicado, pero vamos con Beatles eh, que vendría siendo si este nodo, qué?"
