Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.800,es-us,,,,"Está grabando perfecto listo muchachos, bienvenidos otra sesión más. Ya llevamos varios Este año cada 8 días miércoles 7 de la noche nos reunimos, pues para aprender The Machine learning ser buenos en Machine learning compartir hacer comunidad, eh? Básicamente Ese es el el propósito del espacio, em, si se pudiera definir es más parecido a un gimnasio o se han estado en algún deporte de alto rendimiento el concepto es el mismo es ser buenos practicar acompañarnos y aprender de de los demás dar consejos dar observaciones trabajar en equipo construir proyectos y pues por sobre todo aprender aprender mucho y aplicar sí es un es más como trabajo constante es la idea un trabajo constante con proyectos."
59.000,117.800,es-us,0.75888,,,"Datos reales algo que se pueda ver con una aplicación en la vida real no solo del libro que los ejercicios de libros son muy buenos pero son del libro y siempre te van a funcionar cuando te enfrentas a un problema real pues es Es más chévere desafiante a veces no funciona es decir pero aprendes al final y eso es esa es la idea, eh? Doy toda esta introducción Porque muchos nuevos entonces, eh? Como la aclaración de Qué es regla sencillas respetar a los demás sencillo y usar los canales para lo que se diseñaron ahí para dar como una introducción de qué canal soy Pues el de bienvenida notas y recursos que es donde pueden compartir libros, eh? Canales de YouTube aquí son algunos que yo he aportado aquí también han aportado varios, eh? El canal principal que es donde se mantiene la comunicación principal y hay un un una bendición que se llama project Dónde encontramos Pues los proyectos que estamos trabajando en este momento trabajamos uno de Cars"
118.900,178.400,es-us,0.84340,,,"Que ya lo vamos a ver a detalle, damos una introducción rápida que se trata y ya que se busca, eh? O cómo se ha manejado? Pues usualmente soy yo el que ha dado los las sesiones Se podría decir no quiero llamarlo clase Porque como les digo es más como un trabajo en equipo, pero la idea es que cualquier persona que quiera entregar algún tema o explicarlo de lo que sea de una acá es el espacio para hacerlo, eh, Me contactan y ordenamos cómo es la sesión, Eh pues para que tenga como consistencia trabajamos en el rep o lo que sea y la idea es compartir eso, eh? Dato para que se animen a hacer eso en mi experiencia enseñar es la mejor forma de aprender cuando ya enseñas es cuando ya sabes el tema a la perfección por lo que si hay algún tema que ustedes quieran de verdad aprender muy bien, ensen y acá podría ser el espacio entonces."
179.000,237.600,es-us,0.80869,,,"Eh, Así, se manejó pero puerta abierta es la idea correctamente, eh? Ahora sí, saltamos al al proyecto, eh? Qué hemos hecho en todo este tiempo hemos arrancado desde ser un proyecto para poder entender las las bases de Machine learning desde sacar la información desde la Fuente hasta desplegarlo justo hoy después de varios meses y entender muchas de las bases muchos conceptos, hoy ya pasamos a la parte del despliegue como cerrando ese primer capítulo el proyecto que hemos hecho, eh? Comienza desde esta página web que se llama Cars es una página de Estados Unidos que vende carros es algo muy parecido a lo que hay acá en Colombia nosotros qué hicimos crear una etl para sacar la información, eh? Periódicamente almacenarla en una base de datos que en este caso es una una base de datos, no relacional es mongodb, aunque creo que ahorita creo que ahorita va a estar corrupta porque dice se me se me suele estallar Ah no está bien, sí."
238.900,298.500,es-us,0.83173,,,"Es una base de datos, no relacional donde extraemos toda la información de de esos carros tanto la marca kilometraje precio sugerido color exterior color interior hay muchas variables que se han sacado que creemos que son importantes para el objetivo que es prescindir el precio del carro El ejercicio, es muy sencillo, pero más allá de hacer un ejercicio real la idea era con un ejercicio real aprender las fases de Machine learning que era como como les comentaba extraer la información que era la primera etapa. Esto lo van a poder encontrar en el canal en un repo que se llama Cars Script Allí está todo el código para que se pueda hacer esta misma extracción que se hace única recomendación la página tiene un sistema de detección de como si le le tiras muy duro al al servidor te Vania entonces, pues tirarle más suave ahí Incluso el código está configurado para que haga solicitudes cada, eh? Medio segundo y así como que"
299.000,358.400,es-us,0.72040,,,"Mientras que te valen tan fácilmente, pero entonces se extrae la información pasa al siguiente que hicimos, eh? Preparar los datos mirar qué podía hacer útil y que no podía ser Útil para poder entrenar un modelo regresivo, Eh aplicamos muchas transformaciones la mayoría de datos eran categóricos por lo que aplicamos bajo Rincón aplicamos hashtag aplicamos, eh? Work vector aplicamos también transformaciones numéricas, incluso hay algunas que ya se hace normalización aplicamos remoción de slides aplicamos, eh? Imputation cuando hay datos perdidos todo eso que se necesita para hacer el proceso aquí pasó y pues lo podemos encontrar en las sesiones anteriores, ahorita es más como un como una revisión de que se ha hecho después ya una vez con los datos preparados la idea era aprender con varios modelos de Machine learning, Cómo funcionan ventajas y desventajas de de predecir ese precio Entonces le decimos con cinco en total uno que es Random Forest que es el básico."
359.000,418.700,es-us,,,,"Otro que es capuz que es como el assembling de The Random Forest como súper optimizado, eh? Utilizamos auto Mel que es el que se utiliza para este tipo de casos tienes un montón de modelos, el que mejor te funcione aplicamos red neuronales utilizando tensorflow y red neuronales utilizando python, todos hacen Exactamente lo mismo y lo van a poder encontrar en el código que se encuentra en este que se llama Cars melqro project. Aquí falta documentar eso me encargaré documentar, pues Cómo funciona un poco del del Ritmo Pero quizás en el código se vea mejor que aquí justo acá se hace la la parte de pre-proceso, aquí están todas las diferentes modelos que hacen Exactamente lo mismo es percibir el precio algunos con mayor actriz y que otros, eh? Pero la idea era entender cómo funcionaba cada uno de ellos ese era el objetivo y lo pueden ver en la sesión de las anteriores, eh? También se"
418.900,478.800,es-us,,,,"Pues la evaluación verificar si tiene un buen performance si no tiene y si es apto para ser desplegado si superaste pronto el modelo anterior en el en el r. Cuadrado que era la métrica que estábamos utilizando que todo eso también ya lo vimos en sesiones anteriores, quizás en esta etapa ya para entrar al grupo. Sí hay que ponerse un poco al día o a estudiar si algo me contactan y yo les puedo ayudar a ponerse un poco más fácil al día em, pero hicimos toda esta etapa incluso ya la la tapa en la que evaluó, el el modelo que está actualmente en producción, lo evaluó con con el que acaba de entrenar y con base a eso decido sí quiero desplegar o no y finalmente ya lo que nosotros, eh? Estamos haciendo era crear este servicio que es la inferencia que es donde va a funcionar ese modelo y utilizar. Eso es lo que vamos a ver, eh? No sé si hasta ahí Tienen alguna duda Por lo general, si no hay si no hay manitos."
479.000,538.500,es-us,0.78676,,,"Asumo que es estoy listo perfecto. Vámonos entonces, listo, repositorios, ahorita les comparto este último porque este es diploma, estaba estaba de la mano con con el eml project, pero decidí separarlo para que fuera más fácil estos inferencia estos entrenamiento o el pie grande entrenamiento entonces, eh Para que no haya confusión, pero ahorita actualizo en el canal, Pues esa información, Eh entonces ya entraríamos un poco más a la etapa Listo ya tengo todos estos modelos entrenados, que lo que hacen es pre decirme Pues el precio, eh? Lo pueden utilizar en el repositorio como les comentaba y ya empezamos a ver un poco más a detalle esos pasos de cuando ya lo tengo entrenado Cómo hago para hacer ese paso a la diferencia La diferencia, hace referencia a el uso como tal Y ya vamos a ver más detalle ese uso, pero el paso previo el justito antes es cuando evalúas ya el modelo que acabas de entrenar Quizás lo comparas con el que existe vidas una que otra métrica dependiendo del problema."
539.000,598.700,es-us,0.84256,,,"Por ejemplo en este regresión además de encontrar el r. Cuadrado o de pronto el rms. Nosotros podríamos explorar los residuales que los residuales básicamente es la diferencia que hay entre el valor real y el valor predicho Sí y por ejemplo en este en esta gráfica que se ve aquí si ambos son si ambos son Exactamente igual, es decir el predicho y el Real son iguales o muy cercanos, pues es esta línea que atraviesa los 45 grados todos los valores deberían estar sobre esta línea sería como lo ideal O sea si si se predijo $30,000 Pues el valor real Debería ser $30,000 Entonces todos esos deberían estar sobresaliendo esa es una forma como de identificar, que también lo está haciendo el modelo, pero también hay otra forma de de ver esta información que es ya encontrando el residual como tal Y lo que haces es calcular la resta y haces el clot."
