Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.600,es-us,0.78160,,,"Una una más suave no más like listo no chicos, pues contexto la de siempre comenzamos con el contexto La idea, es construir este juego de defensa de ataque en la red de servidores donde se ataca y se defiende para ganar control de la red para eso estamos usando grafos porque la comunicación que dentro de los servidores tiene son naturaleza, me conecto con varios servidores Hay unos que atacan hay otros que defienden sabemos que hay por más ya de escribir un grafo que es a través de la el exchange, sí Matrix que es la matriz de proximidad la matriz de las características de los dos El de los servidores y la matriz de la características de los puentes Entonces en este caso esta sesión era para introducir ya un poco el tema de los embebidos Cómo funcionaban."
59.000,117.800,es-us,0.86022,,,"es básicamente transformar la información que está en los grafos en unos vectores que representan esa información y que representa la información lo más lo más lo mejor posible eso habíamos hecho ya en sesiones, anteriores, la comparación con las palabras que es una idea parecida Las palabras, se pasaban a un espacio vectorial y por su significado o su utilidad quedaban cerca unas de otras que era hombres con Reyes mujeres con reinas Y de esa manera se ordenaban un espacio vectorial ese era el objetivo, entonces la idea en esta sesión era ver em, dos ya entender un poco más dos de los algoritmos de para beber grafos a partir de la proximidad, eso sería la idea de la matriz de proximidad y no estamos utilizando matriz de"
118.900,178.000,es-us,0.84321,,,"Este de los nodos o matrices de los puentes solo matriz de proximidad es decir con quién estoy yo conectado una forma de representarlo es o de colocarlo en palabras más básicas, sería, tengo mi comunidad de amigos y me categorizan o me dan un orden a partir de mis amigos incluyéndome a mí pero a través de los amigos con los que me conecto Entonces por ejemplo, el club de los programadores seguramente todas las personas que están a mi alrededor o la mayoría hay varios que son programadores, entonces tendemos a estar ubicados en un espacio vectorial cercano, Porque todos compartimos esa conexión y si se dan cuenta no hay una a pesar de que una característica es programación la forma en la que se agrupa es a través de la conexión como yo soy programador tiendo a estar conectado con más programadores con ustedes Entonces tenemos una relación."
179.000,238.800,es-us,,,,"Por lo que estaremos en un espacio vectorial que nos une y que nos representa eso sería como la la forma burda de decir qué es lo que qué es lo que sucede acá? Entonces, eh? Habíamos visto que habían dos métodos uno que se llama diput y otro que se llama not to Bed y en sesiones, anteriores, sabemos que como que Notebook vector todavía no era tan claro y Igual también no era tanta, claro, cómo funcionaba, pero ya en esta sesión vamos a entender un poco lo que lo que hace el algoritmo de ded, es bastante sencillo, inicialmente, coge cada uno de los nodos como punto de inicio es decir como el nodo desde que yo empiezo a hacer, eh? Caminatas, aleatorias, que la palabra sería Random watch en inglés y es en en palabras del ejemplo que le colocaba a mis amigos, me colocó Por ejemplo yo como referente Yo soy el punto de inicio, entonces empiezo a ver las conexiones que"
238.900,298.300,es-us,0.78490,,,"Es eso César se conecta con Juanito y Juanito se conecta de pronto con Pepito pero Pepito también se conecta otra vez con césped entonces así empieza a navegar en ese grafo, me empieza a conectar, eh? Aleatoriamente con los nodos y empieza a ocurrir algo que se llama Koko currents que es va a ver, eh? Personas en esa red de en mi red que van a aparecer muy frecuentemente porque suelo estar conectado con ellas y las personas con las que con las que se conecta esa persona también se conectan conmigo, es decir, hay una relación de comunidad Se podría decir y es fácil que esa persona aparezca muchas veces sí, yo soy el punto de inicio, por ejemplo, mi mejor amigo podría parecer porque quizás yo salto de de de de de de de César salto a donde mi mejor amigo, pues El Salto de mi mejor amigo a otro amigo que tenemos en común y luego ese amigo se trata a otro amigo, pero el otro amigo también conoce a mi amigo."
299.000,357.800,es-us,0.84704,,,"Entonces mi mejor amigo Ya apareció dos veces y eso empieza a pasar que él empieza a aparecer muchas veces y de esa manera se empieza a ver a notar una relación que hay entre él y yo Entonces los dos tendemos a estar cerca en esa representación vectorial porque pasamos la idea pasada esa información que tiene el Random y la frecuencia con la que aparece en cada uno de esos de esos nodos en el que ocurre que aparecen muchas veces cuando yo camino así en esa en esa red coger esa información y traspasarla a a un espacio vectorial y la forma en la que se hace es comparando dos probabilidades que viene siendo la probabilidad que aparece en el grafo de que esa persona aparezca dado dado dado dado dado que yo soy el punto de inicio, Qué probabilidad hay de que mi mejor amigo aparezca de hecho es mucha porque tenemos una relación fuerte esa misma probabilidad."
359.000,418.900,es-us,,,,"Se se intentaba representar un espacio vectorial y la forma en la que se hace es muy interesante porque se hace como si se entrenaron la red neuronal Cómo se entrenaron algoritmo de Machine learning que se calcula un un valor de pérdida ahorita vamos a ver un poco la fórmula y la explicamos en la cual intento que esa información, eh? O esa pérdida de información sea lo más pequeña posible de tal manera que ambos espacios representan básicamente lo mismo, eh? En diferentes dimensiones o representaciones se podría colocar de esa manera, eso es lo que es de uva, lo que es no tu vector es simplemente un Deep Walk pero con una, eh? Un aditivo que es cuando lo lo leí Lo entendí, me pareció increíble porque ya ahorita vamos a ver eh Cómo se representa se hace el mismo el mismo camino la caminata aleatoria se hace la misma caminata Ale"
418.900,478.500,es-us,0.81558,,,"Pero eh, Perdón se hace la misma caminata, pero ahora no es del todo aleatoria, Ahí me cuando hablo no tuve esto porque se utilizan, eh? Dos, eh? Algoritmos que es 10 y 10 que en palabras también un poco curdas para entender, Qué significa el bff, es lo que hace es hacer una exploración, pero local es decir, yo busco a partir de César Busco cuáles son sus amigos más cercanos, pero no tiendo alejarme de esos amigos conocidos, sino Busco son, eh? El algoritmo tiende a repetir caminos que ya conocían es lo que se podría decir mientras el Dif es hace todo lo contrario, tiende a irse lo más lejos posible de de César para encontrar. Básicamente hasta dónde llega la relación de César Y esa cadena."
479.000,538.900,es-us,0.74470,,,"De relaciones y así es como se generan esos esos randoms, que ya no serían tan raro, pero se siente, se se se encuentra la idea Entonces el konkurrenz, que yo tendría con otros nodos o con otros amigos sería diferente al que aparece en el en el diván tiene algunas ventajas respecto a otras ahí sí todavía, eh? Falta un poco más aplicarlo para entender exactamente Qué ventajas tiene sobre otra, pero ya se entiende Cómo funciona el Deep Walk funcione de forma Random yo salto sin importarme, qué amistad hay o que no hay yo salto y simplemente salto todos los nodos con los que está conectado tiene la misma probabilidad es decir, Puedo saltar a ellos con la misma probabilidad hay que hay cinco entonces él tiene uno sobre cinco uno sobre cinco uno sobre cinco uno sobre cinco, eso es el el Big el Note vector, ya tendría ser con estos dos factores de probabilidad. Yo salto, pero depende."
539.000,598.200,es-us,0.81105,,,"De ese factor que esos son dos hiper parámetros depende de ese factor, eh? De que sí quiero encontrar las relaciones más locales o las relaciones más distantes, eh? Yo explorar y saltaré y cada uno de esos no tendrán una probabilidad más grande por ejemplo, eh? Si el de el 10 es es muy alto. Yo tendría Buscar nodos, que no haya yo ya utilizado. Sí que no haya mucha ocurrencia, entonces buscaré que sean nuevos nodos, eh? Nuevas relaciones de amistad para saber qué tan lejos llega esa cadena de amistad de Mateo o quiero esa relación más cercana Esa es la forma en la que funciona el norte vector y después se aplica el mismo algoritmo que hablábamos hace un momento, eh, A partir de qué ocurre Yo calculo Cuál es la probabilidad de que aparezca un nuevo respecto a otro y con eso lo comparo con ese espacio vectorial y Busco minimizar."
599.000,658.900,es-us,0.79202,,,"Esa pérdida de información para que tanto el grafo como la representación vectorial tengan básicamente la misma información o la representen de una forma muy parecida, así es cómo funciona aquí este mando explica bastante bien. Me gustó cuando cuando vi el video de él. Entonces acá, por ejemplo está hablando de la probabilidad que les comentaba entonces dado este vector, Qué probabilidad hay de que salga este sector este este Perdón este No aquí le colocaba V porque es vértice o vertex también en inglés entonces lo que se busca es dada la probabilidad de que yo esté en este vértice que que Mateo sea o César sea el el vector en el que me encuentro actualmente, Qué probabilidad hay de Que aparezca Juan David que es el mejor amigo, entonces Pues habrá una probabilidad muy alta por lo que en el espacio vectorial que queremos representar él y yo también tendríamos estar muy cerca Porque hay algo que ocurre bastante bastante grande porque él se repite."
659.000,718.700,es-us,,,,"Muchas veces cuando empiezan desde mi posición y a su vez este mismo algoritmo que Les acabo de comentar, se se hace con todos los lados a todos los se le hace el mismo tratamiento entonces a mi mejor amigo, él también sería el punto de inicio de ese Random Walk y empezaría a saltar todas sus relaciones y de esa manera se mapea la representación de él con respecto a las conexiones que tiene alrededor es como funcionaría entonces acá él, eh? Lo que hace en en esta fórmula es Z Z y y z J son los mismos vectores que aparecen acá, pero eh, lo vimos nodos, pero representados en una forma vectorial, Sí qué es lo que queremos hacer. Queremos pasar del del grafo a vectorial y aquí se hace una comparación de coseno es básicamente, eh? Medir qué tan parecido son en ese caso, si se dan cuenta, ya tenemos."
718.900,778.700,es-us,,,,"Dos representaciones una que es la vectorial tenemos la la del grafo Y a partir del Random Walk y estas probabilidades que se sacan esta probabilidad. Yo quiero que está probabilidad Que aparezca acá sea muy parecida a la probabilidad o a la cercanía que existiría entre estos dos, porque son bastante cercanos y esa es la medida de error, que yo quiero acotar y minimizar Esa es la medida de error, que yo quiero reducir a lo a lo máximo posible, entonces acá, eh? Acá se hace la la fórmula de de este error de hecho discúlpenme que el nombre del error todavía no me lo sé también, pero está sumatoria que es, póngale es muy parecida a lo que vimos de pronto en el proyecto de pubs era que el modelo predice un precio tú lo comparas el precio que el precio que el modelo predice con el precio real calculas la resta, eh? Elevas al cuadrado y ya habíamos visto también de pronto porque"
779.000,838.800,es-us,0.77842,,,"Que hace eleva al cuadrado y lo que quieres es reducir ese error en total lo más posible que para todos los precios que predice mi modelo de carros el error en su mayoría en la sumatoria total sea lo más pequeño posible aquí pasa algo parecido que es a partir de estos dos vectores, eh, vectors, perdón, de estos dos nodos de uno, eh? Vi y bj que son vértices también lo que quiero es la sumatoria de El error o la probabilidad que hay que se tiene a partir de esta diferencia del coseno para mirar qué tan distantes son las representaciones vectoriales Y a partir de ahí, pues es como un modelo que se entrena entonces calculo el error Entonces voy Ajustando eh, los parámetros que me transforman ese embebido hasta llegar a tal punto que la información que se pierde es muy poca y este valor tiende a ser muy muy muy pequeño, ahí sería un poco la descripción."
838.900,898.200,es-us,0.85192,,,"Cómo funcionaría esa transformación en código Sería mucho más sencillo, pero ya se entiende un poco a nivel matemático y a nivel, eh? Verbal como funciona es yo soy como un nodo yo soy la representación, No Solamente mía, sino con las personas que me conectan mi representación también parte de ahí con personas con las que no tengo interacción y ni siquiera los amigos de esa persona no tiene interacción, eh? No tengo interacción posiblemente estemos en espacios vectoriales completamente distantes, eh? En lugares de ese espacio vectorial Porque no tenemos una relación o si no está relación es en algo es una relación muy lejana porque ese Random Walk por lo general no llegará tan lejos como para representar o conectarme con ellos Ahí va un poco Esa esa representación y y cómo funciona la egoísmo es lo que quiero es"
